study_hours,attendance_pct,prev_gpa,assignments_done,sleep_hours,internet_hours,family_support,part_time_job,extracurricular,parent_edu,gender,school_type,distance_km,quiz_avg,midterm_score,final_score,grade
6.0,67.9,2.4,52.7,7.0,2.0,3,0,0,Undergraduate,Female,Private,0.5,55.8,61.8,43.5,Fail
4.7,75.8,2.98,62.4,6.2,2.5,4,0,0,None,Female,Public,26.0,84.1,90.2,67.8,Pass
6.3,66.1,3.01,56.2,6.7,2.1,3,1,1,High School,Male,Private,0.9,42.6,71.7,51.0,Pass
8.0,73.4,3.33,64.0,8.1,3.2,1,1,1,High School,Male,Private,22.9,47.9,79.5,64.4,Pass
4.5,49.6,2.04,70.7,8.9,4.8,5,0,1,Undergraduate,Male,Public,3.9,72.3,47.3,38.3,Fail
4.5,81.2,3.41,91.7,7.9,1.8,4,0,0,High School,Male,Public,11.3,47.6,79.5,71.9,Distinction
8.2,78.0,1.11,68.6,7.2,4.5,3,0,0,None,Female,Public,0.5,47.0,72.2,45.9,Pass
6.5,65.7,2.56,43.3,9.2,1.8,5,0,1,High School,Female,Public,17.7,66.9,38.0,42.2,Fail
4.1,87.9,2.66,97.8,6.5,1.7,2,0,1,Undergraduate,Female,Public,1.4,49.2,70.6,59.8,Pass
6.1,92.1,3.44,58.3,8.5,4.2,2,0,1,Postgraduate,Female,Public,6.3,63.0,53.8,62.2,Pass
4.1,53.9,3.02,73.8,6.6,4.4,5,0,1,Postgraduate,Male,Public,20.4,54.5,37.3,42.9,Fail
4.1,66.6,2.02,83.9,7.6,4.3,3,1,0,High School,Male,Private,14.3,52.1,64.1,41.4,Fail
5.5,66.5,2.31,79.0,6.8,1.0,4,1,1,High School,Female,Public,0.5,33.5,70.6,48.3,Pass
1.2,63.9,3.14,96.9,6.9,2.3,3,1,1,High School,Male,Private,6.2,67.1,64.4,50.3,Pass
1.6,90.4,2.94,84.6,6.4,4.2,1,0,1,Undergraduate,Female,Public,0.5,46.3,60.3,44.1,Fail
3.9,75.1,2.59,57.8,9.0,3.1,4,0,0,None,Female,Private,13.4,62.5,56.7,43.1,Fail
3.0,74.0,2.66,100.0,5.9,1.4,2,0,0,High School,Female,Public,41.7,57.3,100.0,63.2,Pass
5.6,47.9,3.49,78.9,5.9,3.7,4,0,0,Undergraduate,Male,Private,12.8,61.9,43.1,53.3,Pass
3.2,87.5,2.64,72.1,10.0,1.9,4,0,0,High School,Female,Private,3.0,62.8,76.0,56.8,Pass
2.2,59.4,2.94,94.3,8.5,5.7,5,1,0,None,Male,Private,5.3,67.9,62.2,52.6,Pass
7.9,78.9,4.0,80.0,3.4,5.3,4,0,1,High School,Female,Private,45.1,54.1,48.3,76.6,Distinction
4.5,82.2,2.0,83.0,6.2,3.9,2,1,0,High School,Male,Public,3.0,83.6,61.2,52.1,Pass
5.1,98.4,1.7,100.0,4.3,5.0,5,1,0,Undergraduate,Male,Private,9.9,37.3,39.7,51.6,Pass
2.2,58.4,3.55,69.5,5.6,3.1,4,1,0,Postgraduate,Female,Public,6.1,61.6,52.5,46.0,Pass
3.9,32.7,2.52,68.6,3.0,4.1,4,1,0,High School,Female,Public,17.5,77.5,61.2,37.8,Fail
5.2,80.8,2.78,77.3,6.8,5.2,5,0,1,High School,Male,Public,24.2,72.2,37.2,56.8,Pass
2.7,100.0,2.45,96.4,5.3,3.4,4,1,0,Postgraduate,Male,Public,5.0,50.4,70.1,62.1,Pass
5.8,96.6,2.82,44.9,7.1,2.6,3,0,0,Postgraduate,Male,Private,13.0,52.9,46.6,49.3,Pass
3.8,81.1,4.0,35.7,4.6,0.4,4,1,1,High School,Female,Private,9.6,49.9,38.8,44.2,Fail
